,Trial,Score,Algorithm,Parameters
28,28,0.9489120573469423,en,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', 'first'), ('algorithm', 'en'), ('alpha', 0.0008608564486929174), ('l1_ratio', 0.02884428444223919)]"
29,29,-0.029441307066881618,lasso,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', 'first'), ('algorithm', 'lasso'), ('alpha', 7.97405293443956)]"
30,30,0.8695777639423012,gbr,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', 'first'), ('algorithm', 'gbr'), ('n_estimators', 810), ('learning_rate', 0.002502319349347742), ('max_depth', 4), ('subsample', 0.5086742020838684), ('min_sample_split', 7), ('min_sample_leaf', 6)]"
31,31,0.9498560012919262,en,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', 'first'), ('algorithm', 'en'), ('alpha', 0.0008420495381024598), ('l1_ratio', 0.08792956359810299)]"
32,32,0.8882791010176795,rf,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', 'first'), ('algorithm', 'rf'), ('bootstrap', True), ('n_estimators', 577), ('max_depth', 92), ('min_sample_split', 10), ('min_sample_leaf', 10)]"
33,33,0.7368214868842125,en,"[('scaling_method', 'maxabs'), ('encoding_method', 'onehot'), ('drop', 'first'), ('algorithm', 'en'), ('alpha', 0.05566575548888979), ('l1_ratio', 0.11820072246312327)]"
34,34,0.8738175132754747,ada,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', 'first'), ('algorithm', 'ada'), ('learning_rate', 0.7677788768573152), ('loss', 'square'), ('n_estimators', 745)]"
35,35,0.8260266607408215,rf,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', 'first'), ('algorithm', 'rf'), ('bootstrap', False), ('n_estimators', 14), ('max_depth', 37), ('min_sample_split', 5), ('min_sample_leaf', 1)]"
36,36,0.9383079459302032,en,"[('scaling_method', 'maxabs'), ('encoding_method', 'ordinal'), ('algorithm', 'en'), ('alpha', 0.0008470099235999984), ('l1_ratio', 0.021059157881047296)]"
37,37,0.745408937325795,ada,"[('scaling_method', 'standard'), ('encoding_method', 'onehot'), ('drop', 'first'), ('algorithm', 'ada'), ('learning_rate', 0.0005601672835746196), ('loss', 'square'), ('n_estimators', 405)]"
38,38,0.941864120697199,lasso,"[('scaling_method', 'robust'), ('encoding_method', 'ordinal'), ('algorithm', 'lasso'), ('alpha', 0.0005793817977169322)]"
39,39,0.9411548656561404,en,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', 'first'), ('algorithm', 'en'), ('alpha', 0.006359993639482432), ('l1_ratio', 0.6251098987933636)]"
40,40,0.9407217253975555,en,"[('scaling_method', 'standard'), ('encoding_method', 'ordinal'), ('algorithm', 'en'), ('alpha', 0.02737810901015294), ('l1_ratio', 0.15851119534205688)]"
41,41,0.9496120297199757,en,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', None), ('algorithm', 'en'), ('alpha', 0.0045128425873121976), ('l1_ratio', 0.0005494472544311735)]"
42,42,0.9453494419229346,xgb,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', None), ('algorithm', 'xgb'), ('n_estimators', 717), ('learning_rate', 0.03126580037888188), ('max_depth', 6), ('subsample', 0.6557350467436853), ('colsample_bytree', 0.5152264689828334), ('min_child_weight', 20)]"
43,43,0.9492701054227599,en,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', None), ('algorithm', 'en'), ('alpha', 0.0023642932360382228), ('l1_ratio', 0.006099948859058689)]"
44,44,0.9480340988957616,en,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', None), ('algorithm', 'en'), ('alpha', 0.00035418219965819745), ('l1_ratio', 0.05351026632533589)]"
45,45,0.829813063005301,rf,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', 'first'), ('algorithm', 'rf'), ('bootstrap', False), ('n_estimators', 895), ('max_depth', 94), ('min_sample_split', 5), ('min_sample_leaf', 4)]"
46,46,0.8390386539783339,en,"[('scaling_method', 'maxabs'), ('encoding_method', 'onehot'), ('drop', None), ('algorithm', 'en'), ('alpha', 0.06136425793647579), ('l1_ratio', 1.6148019373240607e-05)]"
47,47,0.9438393295738219,xgb,"[('scaling_method', 'standard'), ('encoding_method', 'ordinal'), ('algorithm', 'xgb'), ('n_estimators', 464), ('learning_rate', 0.12965422936539858), ('max_depth', 7), ('subsample', 0.7120741631505831), ('colsample_bytree', 0.9909148335740652), ('min_child_weight', 10)]"
