,Trial,Score,Parameters,alpha,encoding,scaling
35,35,0.9377227091518918,"[('scaling_method', 'maxabs'), ('encoding_method', 'ordinal'), ('alpha', 0.0002645324597600693)]",0.0002645324597600693,ordinal,maxabs
36,36,0.950632762387974,"[('scaling_method', 'minmax'), ('encoding_method', 'onehot'), ('drop', None), ('alpha', 0.00020881928921946346)]",0.00020881928921946346,onehot,minmax
37,37,0.9464551863316732,"[('scaling_method', 'minmax'), ('encoding_method', 'onehot'), ('drop', None), ('alpha', 0.0006715888395721741)]",0.0006715888395721741,onehot,minmax
38,38,0.9505754196303947,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', None), ('alpha', 0.0002194422481917491)]",0.0002194422481917491,onehot,robust
39,39,0.9417185908920136,"[('scaling_method', 'robust'), ('encoding_method', 'ordinal'), ('alpha', 0.0002326463423086296)]",0.0002326463423086296,ordinal,robust
40,40,0.9508123081664767,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', None), ('alpha', 0.0003064569186647933)]",0.0003064569186647933,onehot,robust
41,41,0.9508106262650469,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', None), ('alpha', 0.0003127497096732443)]",0.0003127497096732443,onehot,robust
42,42,0.9508124507938893,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', None), ('alpha', 0.0003050192339312437)]",0.0003050192339312437,onehot,robust
43,43,0.9508090778208643,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', None), ('alpha', 0.0003296946939111782)]",0.0003296946939111782,onehot,robust
44,44,0.950650579140838,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', None), ('alpha', 0.0004417118901633665)]",0.0004417118901633665,onehot,robust
45,45,0.9494564060785707,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', None), ('alpha', 0.0008171454475088264)]",0.0008171454475088264,onehot,robust
46,46,0.9505752669592871,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', None), ('alpha', 0.0004785517806513343)]",0.0004785517806513343,onehot,robust
47,47,0.9507381964623723,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', None), ('alpha', 0.0003899383411694721)]",0.0003899383411694721,onehot,robust
48,48,0.9508117368547238,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', None), ('alpha', 0.0003101183042511032)]",0.0003101183042511032,onehot,robust
49,49,0.9508112262498137,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', None), ('alpha', 0.0002981174360914308)]",0.0002981174360914308,onehot,robust
50,50,0.941741860252935,"[('scaling_method', 'robust'), ('encoding_method', 'ordinal'), ('alpha', 0.00029627581880223487)]",0.00029627581880223487,ordinal,robust
51,51,0.950810619697387,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', None), ('alpha', 0.00031272068270660967)]",0.00031272068270660967,onehot,robust
52,52,0.9503421330671452,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', None), ('alpha', 0.0005736610727316462)]",0.0005736610727316462,onehot,robust
53,53,0.9507324619192833,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', None), ('alpha', 0.0003941206582719486)]",0.0003941206582719486,onehot,robust
54,54,0.9508076840928542,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', None), ('alpha', 0.0003329406332515926)]",0.0003329406332515926,onehot,robust
55,55,0.9507972897245489,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', None), ('alpha', 0.00028132924126185015)]",0.00028132924126185015,onehot,robust
56,56,0.9497202652046113,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', None), ('alpha', 0.0007572874863850926)]",0.0007572874863850926,onehot,robust
57,57,0.9504710033792684,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', None), ('alpha', 0.00019611906058949062)]",0.00019611906058949062,onehot,robust
58,58,0.9469528084713353,"[('scaling_method', 'maxabs'), ('encoding_method', 'onehot'), ('drop', None), ('alpha', 0.00040993915334869226)]",0.00040993915334869226,onehot,maxabs
