,Trial,Score,Parameters
23,23,0.9489654235411127,"[('scaling_method', 'maxabs'), ('encoding_method', 'onehot'), ('drop', None), ('n_estimators', 780), ('learning_rate', 0.03074676606337832), ('max_depth', 3), ('subsample', 0.6534164706552442), ('colsample_bytree', 0.8049253758780615), ('min_child_weight', 2)]"
24,24,0.9440058082639469,"[('scaling_method', 'maxabs'), ('encoding_method', 'ordinal'), ('n_estimators', 1000), ('learning_rate', 0.01402370170650893), ('max_depth', 3), ('subsample', 0.32063716007145165), ('colsample_bytree', 0.9510115746417895), ('min_child_weight', 3)]"
25,25,0.8277531425955115,"[('scaling_method', 'standard'), ('encoding_method', 'ordinal'), ('n_estimators', 105), ('learning_rate', 0.0466399467774182), ('max_depth', 3), ('subsample', 0.48474106224504593), ('colsample_bytree', 0.8562866668150271), ('min_child_weight', 1)]"
26,26,0.9496743936677078,"[('scaling_method', 'minmax'), ('encoding_method', 'onehot'), ('drop', None), ('n_estimators', 596), ('learning_rate', 0.06264838507489948), ('max_depth', 3), ('subsample', 0.7889135350282249), ('colsample_bytree', 0.9979076559345479), ('min_child_weight', 2)]"
27,27,0.9427092964010066,"[('scaling_method', 'robust'), ('encoding_method', 'ordinal'), ('n_estimators', 893), ('learning_rate', 0.029241103042808615), ('max_depth', 2), ('subsample', 0.18437870426184755), ('colsample_bytree', 0.8796983334981903), ('min_child_weight', 3)]"
28,28,0.761325770095883,"[('scaling_method', 'maxabs'), ('encoding_method', 'onehot'), ('drop', None), ('n_estimators', 933), ('learning_rate', 0.005013232750809224), ('max_depth', 3), ('subsample', 0.33647277707833917), ('colsample_bytree', 0.9431596889087926), ('min_child_weight', 2)]"
29,29,0.7962762515297199,"[('scaling_method', 'standard'), ('encoding_method', 'ordinal'), ('n_estimators', 769), ('learning_rate', 0.0064013010259560445), ('max_depth', 2), ('subsample', 0.5781334961775866), ('colsample_bytree', 0.7928167582155454), ('min_child_weight', 1)]"
30,30,0.9385029264317812,"[('scaling_method', 'standard'), ('encoding_method', 'ordinal'), ('n_estimators', 829), ('learning_rate', 0.015308350190984064), ('max_depth', 3), ('subsample', 0.8402863805680001), ('colsample_bytree', 0.8442060014957916), ('min_child_weight', 2)]"
31,31,0.9521089381214359,"[('scaling_method', 'maxabs'), ('encoding_method', 'onehot'), ('drop', None), ('n_estimators', 896), ('learning_rate', 0.05146357202482165), ('max_depth', 3), ('subsample', 0.6218467171357672), ('colsample_bytree', 0.9162368082880004), ('min_child_weight', 3)]"
32,32,0.9525681866827231,"[('scaling_method', 'maxabs'), ('encoding_method', 'onehot'), ('drop', None), ('n_estimators', 962), ('learning_rate', 0.05060689502779153), ('max_depth', 3), ('subsample', 0.6388428584513088), ('colsample_bytree', 0.8283298175223093), ('min_child_weight', 3)]"
