,Trial,Score,Parameters,scaling,encoding,n_estimators,learning_rate,max_depth,subsample,colsample,min_child
18,18,0.9456807296739873,"[('scaling_method', 'minmax'), ('encoding_method', 'ordinal'), ('n_estimators', 659), ('learning_rate', 0.054885925617947195), ('max_depth', 2), ('subsample', 0.8380137854967867), ('colsample_bytree', 0.5105258721357314), ('min_child_weight', 3)]",minmax,ordinal,659,0.054885925617947195,2,0.8380137854967867,0.5105258721357314,3
19,19,0.9431137238680499,"[('scaling_method', 'minmax'), ('encoding_method', 'onehot'), ('n_estimators', 923), ('learning_rate', 0.019355602030324815), ('max_depth', 3), ('subsample', 0.9781679585994854), ('colsample_bytree', 0.6142703999678656), ('min_child_weight', 1)]",minmax,onehot,923,0.019355602030324815,3,0.9781679585994854,0.6142703999678656,1
20,20,-2.1621520592307597,"[('scaling_method', 'minmax'), ('encoding_method', 'onehot'), ('n_estimators', 469), ('learning_rate', 0.005365163239558231), ('max_depth', 4), ('subsample', 0.6422439571591512), ('colsample_bytree', 0.5650177879958193), ('min_child_weight', 4)]",minmax,onehot,469,0.005365163239558231,4,0.6422439571591512,0.5650177879958193,4
21,21,0.949945697201991,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('n_estimators', 883), ('learning_rate', 0.048225726210159955), ('max_depth', 4), ('subsample', 0.7197161918648854), ('colsample_bytree', 0.9387792395133472), ('min_child_weight', 2)]",robust,onehot,883,0.048225726210159955,4,0.7197161918648854,0.9387792395133472,2
22,22,0.9472061154419261,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('n_estimators', 941), ('learning_rate', 0.09747896202812703), ('max_depth', 4), ('subsample', 0.8524179506388778), ('colsample_bytree', 0.6877472725543372), ('min_child_weight', 2)]",robust,onehot,941,0.09747896202812703,4,0.8524179506388778,0.6877472725543372,2
23,23,0.9492299712674155,"[('scaling_method', 'minmax'), ('encoding_method', 'onehot'), ('n_estimators', 834), ('learning_rate', 0.02736697634770531), ('max_depth', 4), ('subsample', 0.7685179537541622), ('colsample_bytree', 0.8015692327621708), ('min_child_weight', 2)]",minmax,onehot,834,0.02736697634770531,4,0.7685179537541622,0.8015692327621708,2
24,24,0.9516583209803287,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('n_estimators', 746), ('learning_rate', 0.0631234243662775), ('max_depth', 4), ('subsample', 0.6548225704496693), ('colsample_bytree', 0.8879676018927267), ('min_child_weight', 3)]",robust,onehot,746,0.0631234243662775,4,0.6548225704496693,0.8879676018927267,3
25,25,0.9490124768610603,"[('scaling_method', 'minmax'), ('encoding_method', 'onehot'), ('n_estimators', 740), ('learning_rate', 0.062122414776911675), ('max_depth', 3), ('subsample', 0.6156624049517739), ('colsample_bytree', 0.8840372570350028), ('min_child_weight', 3)]",minmax,onehot,740,0.062122414776911675,3,0.6156624049517739,0.8840372570350028,3
26,26,0.9461778813832868,"[('scaling_method', 'robust'), ('encoding_method', 'ordinal'), ('n_estimators', 612), ('learning_rate', 0.026973475742236717), ('max_depth', 4), ('subsample', 0.8929113715801726), ('colsample_bytree', 0.7124380472922878), ('min_child_weight', 3)]",robust,ordinal,612,0.026973475742236717,4,0.8929113715801726,0.7124380472922878,3
27,27,0.9329959338444117,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('n_estimators', 679), ('learning_rate', 0.013012433309892484), ('max_depth', 3), ('subsample', 0.8034894970981621), ('colsample_bytree', 0.5047293989295506), ('min_child_weight', 4)]",robust,onehot,679,0.013012433309892484,3,0.8034894970981621,0.5047293989295506,4
