,Trial,Score,Parameters
51,51,0.9500479784981619,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 22.930876402187575)]"
52,52,0.9500179333897052,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 17.959254569922845)]"
53,53,0.9497228083942998,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 10.142852431447196)]"
54,54,0.9498630279111702,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 12.571724030032719)]"
55,55,0.9500451808814502,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 23.967964008145948)]"
56,56,0.9418040845773069,"[('scaling_method', 'robust'), ('encoding_method', 'ordinal'), ('alpha', 19.241301804241523)]"
57,57,0.9499637656924405,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 31.304655880081253)]"
58,58,0.9494921735075987,"[('scaling_method', 'standard'), ('encoding_method', 'onehot'), ('alpha', 38.24851284890588)]"
59,59,0.9493792242819186,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 52.929020526153046)]"
60,60,0.9499950866093843,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 16.6623539155516)]"
61,61,0.9500451953749204,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 23.96428932052215)]"
62,62,0.950047566322267,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 23.171256415782242)]"
63,63,0.950047052730168,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 21.42018777195329)]"
64,64,0.9499204637832518,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 13.97613236695383)]"
65,65,0.9500468262790644,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 21.340598991202373)]"
66,66,0.9500447121966571,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 20.784043245575905)]"
67,67,0.9280139301112126,"[('scaling_method', 'minmax'), ('encoding_method', 'ordinal'), ('alpha', 16.05761514205026)]"
68,68,0.9496431458271756,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 44.63016563354305)]"
69,69,0.9498195703202995,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 11.703350313500374)]"
70,70,0.9480652277197905,"[('scaling_method', 'standard'), ('encoding_method', 'onehot'), ('alpha', 1.7868365137216606)]"
71,71,0.9499873506153376,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 29.832877892174427)]"
72,72,0.9500421784604953,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 20.314081662329183)]"
73,73,0.9499109232932454,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 34.10794152360055)]"
74,74,0.949953058627586,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 14.975144156472288)]"
75,75,0.9222799410119258,"[('scaling_method', 'maxabs'), ('encoding_method', 'onehot'), ('alpha', 27.401311037837974)]"
76,76,0.9500483603405957,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 22.385505381094468)]"
77,77,0.9500286842835355,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 18.776835351789224)]"
78,78,0.9500483495296461,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 22.30312475287664)]"
79,79,0.9415771328090521,"[('scaling_method', 'robust'), ('encoding_method', 'ordinal'), ('alpha', 9.321012781177503)]"
80,80,0.9500051838860081,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 28.556333233017874)]"
81,81,0.9500480692373598,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 22.862195694655654)]"
82,82,0.9500448671438992,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 20.817750281899006)]"
