,Trial,Score,Parameters
28,28,0.923193960347672,"[('scaling_method', 'maxabs'), ('n_estimators', 885), ('learning_rate', 0.46114523418023523), ('max_depth', 2), ('subsample', 0.5483871417961035), ('min_sample_split', 6), ('min_sample_leaf', 7)]"
29,29,0.9418274577064034,"[('scaling_method', 'robust'), ('n_estimators', 737), ('learning_rate', 0.1295220954966621), ('max_depth', 4), ('subsample', 0.6189020988455487), ('min_sample_split', 8), ('min_sample_leaf', 6)]"
30,30,0.9461599344564725,"[('scaling_method', 'standard'), ('n_estimators', 604), ('learning_rate', 0.03803541543865809), ('max_depth', 5), ('subsample', 0.768190448644501), ('min_sample_split', 9), ('min_sample_leaf', 8)]"
31,31,0.9455455057430461,"[('scaling_method', 'standard'), ('n_estimators', 673), ('learning_rate', 0.019475617333136373), ('max_depth', 3), ('subsample', 0.6555842213614251), ('min_sample_split', 7), ('min_sample_leaf', 7)]"
32,32,0.9310330086496995,"[('scaling_method', 'standard'), ('n_estimators', 712), ('learning_rate', 0.007923705424115886), ('max_depth', 3), ('subsample', 0.7152611151668029), ('min_sample_split', 7), ('min_sample_leaf', 6)]"
33,33,0.9445843208427054,"[('scaling_method', 'standard'), ('n_estimators', 652), ('learning_rate', 0.018130579757418996), ('max_depth', 3), ('subsample', 0.5297249611648387), ('min_sample_split', 7), ('min_sample_leaf', 7)]"
34,34,0.9450832431756403,"[('scaling_method', 'standard'), ('n_estimators', 564), ('learning_rate', 0.050125082546120116), ('max_depth', 2), ('subsample', 0.5716430885310593), ('min_sample_split', 6), ('min_sample_leaf', 5)]"
35,35,0.9478285019903628,"[('scaling_method', 'standard'), ('n_estimators', 694), ('learning_rate', 0.1039654290745268), ('max_depth', 3), ('subsample', 0.7672289337909665), ('min_sample_split', 10), ('min_sample_leaf', 8)]"
36,36,0.9414136850605699,"[('scaling_method', 'standard'), ('n_estimators', 758), ('learning_rate', 0.12706530668221344), ('max_depth', 4), ('subsample', 0.7736331112664205), ('min_sample_split', 10), ('min_sample_leaf', 9)]"
37,37,0.9253564289476703,"[('scaling_method', 'standard'), ('n_estimators', 803), ('learning_rate', 0.3119181173382612), ('max_depth', 5), ('subsample', 0.8443784118955242), ('min_sample_split', 10), ('min_sample_leaf', 8)]"
38,38,0.9368153520830577,"[('scaling_method', 'robust'), ('n_estimators', 734), ('learning_rate', 0.2679164159479408), ('max_depth', 3), ('subsample', 0.8348017234511729), ('min_sample_split', 9), ('min_sample_leaf', 4)]"
39,39,0.9197097726752765,"[('scaling_method', 'maxabs'), ('n_estimators', 691), ('learning_rate', 0.01076994825330591), ('max_depth', 2), ('subsample', 0.7170956663492666), ('min_sample_split', 9), ('min_sample_leaf', 10)]"
40,40,0.9453021016541763,"[('scaling_method', 'minmax'), ('n_estimators', 620), ('learning_rate', 0.06667960815416889), ('max_depth', 4), ('subsample', 0.7599928687133533), ('min_sample_split', 10), ('min_sample_leaf', 9)]"
41,41,0.9480509340280197,"[('scaling_method', 'standard'), ('n_estimators', 692), ('learning_rate', 0.026601474824493685), ('max_depth', 3), ('subsample', 0.6630547357496199), ('min_sample_split', 7), ('min_sample_leaf', 8)]"
42,42,0.9442313011899939,"[('scaling_method', 'standard'), ('n_estimators', 708), ('learning_rate', 0.13217730465485328), ('max_depth', 3), ('subsample', 0.6772767130384096), ('min_sample_split', 8), ('min_sample_leaf', 8)]"
43,43,0.9484856382194513,"[('scaling_method', 'standard'), ('n_estimators', 654), ('learning_rate', 0.03541228250689435), ('max_depth', 3), ('subsample', 0.7355349748819389), ('min_sample_split', 6), ('min_sample_leaf', 8)]"
44,44,0.9288836467245556,"[('scaling_method', 'standard'), ('n_estimators', 649), ('learning_rate', 0.014513129891925733), ('max_depth', 2), ('subsample', 0.6295076806057726), ('min_sample_split', 6), ('min_sample_leaf', 9)]"
45,45,0.9467087829560846,"[('scaling_method', 'standard'), ('n_estimators', 730), ('learning_rate', 0.03213422228363911), ('max_depth', 4), ('subsample', 0.8915227662844694), ('min_sample_split', 6), ('min_sample_leaf', 6)]"
46,46,0.8049286105412131,"[('scaling_method', 'standard'), ('n_estimators', 539), ('learning_rate', 0.003214562628067391), ('max_depth', 3), ('subsample', 0.7126455800024083), ('min_sample_split', 6), ('min_sample_leaf', 8)]"
47,47,0.9253168612485239,"[('scaling_method', 'standard'), ('n_estimators', 613), ('learning_rate', 0.00784989452212293), ('max_depth', 3), ('subsample', 0.6731493623158228), ('min_sample_split', 7), ('min_sample_leaf', 7)]"
48,48,0.9441791915854749,"[('scaling_method', 'robust'), ('n_estimators', 775), ('learning_rate', 0.05023667924677957), ('max_depth', 2), ('subsample', 0.5991752295537754), ('min_sample_split', 6), ('min_sample_leaf', 10)]"
49,49,0.935290627411156,"[('scaling_method', 'maxabs'), ('n_estimators', 665), ('learning_rate', 0.17314017987628852), ('max_depth', 5), ('subsample', 0.7403678706101748), ('min_sample_split', 7), ('min_sample_leaf', 8)]"
50,50,0.07482010726592861,"[('scaling_method', 'minmax'), ('n_estimators', 753), ('learning_rate', 0.00012068572957952661), ('max_depth', 3), ('subsample', 0.8020051896806988), ('min_sample_split', 8), ('min_sample_leaf', 9)]"
51,51,0.9485288086331903,"[('scaling_method', 'standard'), ('n_estimators', 681), ('learning_rate', 0.08643693942283374), ('max_depth', 3), ('subsample', 0.7757852337189054), ('min_sample_split', 7), ('min_sample_leaf', 8)]"
52,52,0.9476362634154034,"[('scaling_method', 'standard'), ('n_estimators', 650), ('learning_rate', 0.03833007516940945), ('max_depth', 3), ('subsample', 0.6940837531524914), ('min_sample_split', 7), ('min_sample_leaf', 7)]"
