,Trial,Score,Parameters
38,38,0.950751427940725,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 0.000556684617179241), ('l1_ratio', 0.6850604153998803)]"
39,39,0.9472637973867795,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 2.7242741372011254e-05), ('l1_ratio', 0.6764165712508978)]"
40,40,0.9417767419776408,"[('scaling_method', 'robust'), ('encoding_method', 'ordinal'), ('alpha', 0.0005677091769842107), ('l1_ratio', 0.5978634345040231)]"
41,41,0.9504852032220112,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 0.00041902547098199083), ('l1_ratio', 0.45415877471139254)]"
42,42,0.9508000618839265,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 0.0007521118263160582), ('l1_ratio', 0.3639255571133967)]"
43,43,0.9506166540791214,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 0.0005995721938519944), ('l1_ratio', 0.3679130521932719)]"
44,44,0.9481554830869079,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 7.66339100240805e-05), ('l1_ratio', 0.42428217829458165)]"
45,45,0.9508050686914455,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 0.0007889985047946322), ('l1_ratio', 0.3512758211887859)]"
46,46,0.9466353851672304,"[('scaling_method', 'minmax'), ('encoding_method', 'onehot'), ('alpha', 1.0442831922186106e-05), ('l1_ratio', 0.5731508706303847)]"
47,47,0.9478614774134652,"[('scaling_method', 'maxabs'), ('encoding_method', 'onehot'), ('alpha', 0.00037962367734695115), ('l1_ratio', 0.349267793251403)]"
48,48,0.9417366098247297,"[('scaling_method', 'robust'), ('encoding_method', 'ordinal'), ('alpha', 0.0004961056112146726), ('l1_ratio', 0.5234694048233852)]"
49,49,0.9501923157829217,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 0.0002942863818454093), ('l1_ratio', 0.44583899344165995)]"
50,50,0.9508208059467489,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 0.0008107945431733725), ('l1_ratio', 0.38105698547243994)]"
51,51,0.9508178610170516,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 0.0008431880744079259), ('l1_ratio', 0.38135522304186065)]"
52,52,0.9507979799608522,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 0.000853833886369812), ('l1_ratio', 0.4073611855714078)]"
53,53,0.9508035421384144,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 0.0008623229182250274), ('l1_ratio', 0.3968171328583362)]"
54,54,0.9496137071253159,"[('scaling_method', 'minmax'), ('encoding_method', 'onehot'), ('alpha', 0.0008723772969857918), ('l1_ratio', 0.4031757411724315)]"
55,55,0.9508054746974626,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 0.0007968629063449289), ('l1_ratio', 0.42834930971424984)]"
56,56,0.947431385311978,"[('scaling_method', 'maxabs'), ('encoding_method', 'onehot'), ('alpha', 0.0008775062633479077), ('l1_ratio', 0.3256664579627846)]"
57,57,0.9505749032948309,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 0.00044408581860021625), ('l1_ratio', 0.48179424068035087)]"
58,58,0.9507864454900397,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 0.0008140489229433262), ('l1_ratio', 0.43743892294444103)]"
59,59,0.9417770448844351,"[('scaling_method', 'robust'), ('encoding_method', 'ordinal'), ('alpha', 0.000612964001328954), ('l1_ratio', 0.5389322507344019)]"
